texto,sigla,nivel
85 - TRIP TELEPROTECAO,85,2
85 - TRIP TELEPROTECAO,85,2
- TRIP TELEPROTECAO 85 IED 01F1 - POS. REMOTO,85,3
- TELEPROTECAO TRIP 85 43TC - POS. REMOTO,85,3
TRIP TELEPROTECAO -- FECHADO,85,4
TRIP TELEEPROTECAO - 01Q0 ABERTO,85,4
TTRIP ELEPROTECAO 43TC - FECHADO,85,5
01Q0 TRIP TELEPROTECAO 3TC,85,5
ANOMALIA REDE,ANR,1
ANOMALIA REDE,ANR,1
ANOMALIA REDE,ANR,2
ANOMALIA REDE,ANR,2
REDE ANOMALIA 52-2 - BLOQUEIO,ANR,3
ANOMALIA REDE 43TC - ABERTO,ANR,3
ANOMALIA REDE 522-2 POS. REMOTO,ANR,4
REDE AANOMALIA - TRIP,ANR,4
ANNOMAILA 01Q0 - FECHADO,ANR,5
52-2 BLOQUEO RREDE ANOMALIA,ANR,5
AUTO ZERO,ZERO,1
AUTO ZERO,ZERO,1
AUTO ZERO,ZERO,2
AUTO ZERO,ZERO,2
ZERO AUTO 01Q0 - BLOQUEIO,ZERO,3
ZERO AUTO 43TC - POS. REMOTO,ZERO,3
ZERO AUTO 3TC ABERTO,ZERO,4
ZERO IED 01F1 TRPI,ZERO,4
ZERO 0Q10 521- AUTO,ZERO,5
ZERO 01Q00 52-1 AUTO,ZERO,5
FUNCAO AUTOMATISMO,AUTO,1
FUNCAO AUTOMATISMO,AUTO,1
FUNCAO AUTOMATISMO,AUTO,2
FUNCAO AUTOMATISMO,AUTO,2
AUTOMATISMO FUNCAO IED 01F1 - BLOQUEIO,AUTO,3
AUTOMATISMO FUNCAO 01Q0 - ABERTO,AUTO,3
FUNCAO AUTOMATSMO 52-1 -,AUTO,4
AUTOMATISMO FUNACO 52-1 -,AUTO,4
FECHDO FUNCAO - IED 01F1,AUTO,5
52-1 POS. - AUTUOMATISMO,AUTO,5
FUNCAO AUTOMATISMO,AUTO,1
FUNCAO AUTOMATISMO,AUTO,1
FUNCAO AUTOMATISMO,AUTO,2
FUNCAO AUTOMATISMO,AUTO,2
AUTOMATISMO FUNCAO IED 01F1 - BLOQUEIO,AUTO,3
AUTOMATISMO FUNCAO 01Q0 - ABERTO,AUTO,3
FUNCAO AUTOMATSMO 52-1 -,AUTO,4
AUTOMATISMO FUNACO 52-1 -,AUTO,4
FECHDO FUNCAO - IED 01F1,AUTO,5
52-1 POS. - AUTUOMATISMO,AUTO,5
AUTOMATISMO,AUTC,1
AUTOMATISMO,AUTC,1
AUTOMATISMO,AUTC,2
AUTOMATISMO,AUTC,2
AUTOMATISMO 01F1 - POS. REMOTO,AUTC,3
AUTOMATISMO IED 01F1 - FECHADO,AUTC,3
AUTOMATISMO 5-22 FECHADO,AUTC,4
AUTOMATISMMO - BLOQUEIO,AUTC,4
01Q0 BLOQUEIO AUTMATIISMO,AUTC,5
AUTOMATISMO -52-2,AUTC,5
AUTOMATISMO DESLIGA,AUTD,1
AUTOMATISMO DESLIGA,AUTD,1
AUTOMATISMO DESLIGA,AUTD,2
AUTOMATISMO DESLIGA,AUTD,2
DESLIGA AUTOMATISMO 01Q0 - FECHADO,AUTD,3
AUTOMATISMO DESLIGA 43TC - FECHADO,AUTD,3
AUTOMATISMO DESLIIGA 43TC -,AUTD,4
DESLIGA AUTOMATISMO - TTRIP,AUTD,4
- AUUTOMATISMO 52-2 ABERTO,AUTD,5
- BLOQEIO DSLIGA 52-2,AUTD,5
AUTOMATISMO LIGA,AUTL,1
AUTOMATISMO LIGA,AUTL,1
AUTOMATISMO LIGA,AUTL,2
AUTOMATISMO LIGA,AUTL,2
AUTOMATISMO LIGA 43TC - TRIP,AUTL,3
AUTOMATISMO LIGA 52-1 - POS. REMOTO,AUTL,3
LIGA AUTMATISMO - REMOTO,AUTL,4
LIGA AUTOMATISMO 52-2 BLOQUUEIO,AUTL,4
2-2 01F1 LIGA REMOOT IED,AUTL,5
AUOMATISMO - 52-1 43TC,AUTL,5
AUTOMATISMO RELE 90 E VENTILACAO FORCADA,90VF,1
AUTOMATISMO RELE 90 E VENTILACAO FORCADA,90VF,1
AUTOMATISMO RELE 90 E VENTILACAO FORCADA,90VF,2
AUTOMATISMO RELE 90 E VENTILACAO FORCADA,90VF,2
E RELE FORCADA VENTILACAO AUTOMATISMO 90 IED 01F1 - ABERTO,90VF,3
AUTOMATISMO 90 E FORCADA VENTILACAO RELE 01Q0 - TRIP,90VF,3
RELE 90 VENTILACAO FORCADA E IED 01F1 - POS. REMOTTO,90VF,4
E VENTILACAO AUTOMATISMO RELE 52-2 - PS.,90VF,4
- VENTILACAO RLEE 52-2 90 E 01Q0 AUTOMATSIMO,90VF,5
90 E 52-1 VENTILACAAO - REL FORCADA,90VF,5
AUTOMATISMO RELE 90 E VENTILACAO FORCADA,90VF,1
AUTOMATISMO RELE 90 E VENTILACAO FORCADA,90VF,1
AUTOMATISMO RELE 90 E VENTILACAO FORCADA,90VF,2
AUTOMATISMO RELE 90 E VENTILACAO FORCADA,90VF,2
E RELE FORCADA VENTILACAO AUTOMATISMO 90 IED 01F1 - ABERTO,90VF,3
AUTOMATISMO 90 E FORCADA VENTILACAO RELE 01Q0 - TRIP,90VF,3
RELE 90 VENTILACAO FORCADA E IED 01F1 - POS. REMOTTO,90VF,4
E VENTILACAO AUTOMATISMO RELE 52-2 - PS.,90VF,4
- VENTILACAO RLEE 52-2 90 E 01Q0 AUTOMATSIMO,90VF,5
90 E 52-1 VENTILACAAO - REL FORCADA,90VF,5
BAIXA PRESSAO AR COMPRIMIDO,BXAR,1
BAIXA PRESSAO AR COMPRIMIDO,BXAR,1
BAIXA PRESSAO AR COMPRIMIDO,BXAR,2
BAIXA PRESSAO AR COMPRIMIDO,BXAR,2
AR PRESSAO COMPRIMIDO BAIXA 01F1 - TRIP,BXAR,3
PRESSAO BAIXA AR COMPRIMIDO 01F1 - BLOQUEIO,BXAR,3
AR COMPRIMIDO PRESASO 01F1 - POS. REMOTO,BXAR,4
PRESSAO AR IED 01F1 - FECHADO,BXAR,4
COMPRIMIDO BAIXA FECHAO 52-2 PRESSAO -,BXAR,5
BLOQQUEIO BAIXA - 52-1 COMPRIIMDO PRESSAO,BXAR,5
BAIXA PRESSAO SF6,SF6,1
BAIXA PRESSAO SF6,SF6,1
BAIXA PRESSAO SF6,SF6,2
BAIXA PRESSAO SF6,SF6,2
BAIXA SF6 PRESSAO 01Q0 - ABERTO,SF6,3
SF6 BAIXA PRESSAO 43TC - BLOQUEIO,SF6,3
BAIXA PRESSAO -- TRIP,SF6,4
SFF6 52-2 - FECHADO,SF6,4
- SF6 TTRIP 01F1,SF6,5
BIXA PRESSAO FECHADO 010,SF6,5
ALARME BAIXA PRESSAO SF6,SF6A,1
ALARME BAIXA PRESSAO SF6,SF6A,1
ALARME BAIXA PRESSAO SF6,SF6A,2
ALARME BAIXA PRESSAO SF6,SF6A,2
SF6 PRESSAO BAIXA ALARME 01F1 - ABERTO,SF6A,3
SF6 ALARME BAIXA PRESSAO 43TC - TRIP,SF6A,3
PRESSO BAIXA SF6 ALARME 43TC -,SF6A,4
SF6 PRESSAO BAIXA 52-2 ABRETO,SF6A,4
- ALARME PRESSAAO 01Q0 4T3C,SF6A,5
PRESSSAO BAIXA 01Q0 01F1 SF66,SF6A,5
BLOQUEIO BAIXA PRESSAO SF6,SF6B,1
BLOQUEIO BAIXA PRESSAO SF6,SF6B,1
BLOQ BAIXA PRESSAO SF6,SF6B,2
BLOQ BAIXA PRESSAO SF6,SF6B,2
BLOQUEIO SF6 PRESSAO BAIXA 52-1 - BLOQUEIO,SF6B,3
SF6 BLOQ BAIXA PRESSAO 01Q0 - FECHADO,SF6B,3
SF6 PRESSAO BAIAX 01F1 - TRIP,SF6B,4
BAIXA PRESSAO BLOQ 521- - FECHADO,SF6B,4
RPESSAO 43TC BLOQUEI 43TC SF6,SF6B,5
BBLOQUEIO - BOLQUEIO 01F1 BAIXA PRESSAO,SF6B,5
BATERIA EM DESCARGA,BADC,1
BATERIA EM DESCARGA,BADC,1
BATERIA EM DESCARGA,BADC,2
BATERIA EM DESCARGA,BADC,2
EM DESCARGA BATERIA 01F1 - FECHADO,BADC,3
EM DESCARGA BATERIA 52-1 - POS. REMOTO,BADC,3
EM IED 01F1 - TRPI,BADC,4
DEESCARGA BATERIA 01F1 -,BADC,4
EM FECHADO52-2 -,BADC,5
01F1 DESCARGA - 0011,BADC,5
BLOQUEIO 5 MINUTOS,B5M,1
BLOQUEIO 5 MINUTOS,B5M,1
BLOQUEIO 5 MINUTOS,B5M,2
BLOQ 5 MINUTOS,B5M,2
5 MINUTOS BLOQ 01F1 - FECHADO,B5M,3
MINUTOS BLOQ 5 52-2 - POS. REMOTO,B5M,3
BLOQ MNUTOS - TRIP,B5M,4
BLOQUEIO 5 - FECAHDO,B5M,4
- MINUTOS5 IEED 01F1,B5M,5
POS. 01Q0 BLOQ REMOTO 01F1,B5M,5
BLOQUEIO ABERTURA BAIXO AR COMPRIMIDO,BAB,1
BLOQUEIO ABERTURA BAIXO AR COMPRIMIDO,BAB,1
BLOQ ABERTURA BAIXO AR COMPRIMIDO,BAB,2
BLOQ ABERTURA BAIXO AR COMPRIMIDO,BAB,2
BAIXO COMPRIMIDO BLOQ ABERTURA AR 52-1 - POS. REMOTO,BAB,3
COMPRIMIDO BAIXO AR BLOQUEIO ABERTURA 01Q0 - TRIP,BAB,3
BAIXO AR ABERTURA 52-1 - FECAHDO,BAB,4
BLOQ COMPRIMIDO BAIXO IED 01F1 - BLOUEIO,BAB,4
01F1 BAIX ABERTURA AAR BLOQ 01Q0,BAB,5
ABERTURA 43TC AR BAIX BLOQ,BAB,5
BLOQUEIO CDC,BCDC,1
BLOQUEIO CDC,BCDC,1
BLOQ CDC,BCDC,2
BLOQ CDC,BCDC,2
CDC BLOQ 52-1 - ABERTO,BCDC,3
CDC BLOQ IED 01F1 - ABERTO,BCDC,3
CDC BLOQUEIO 10Q0 -,BCDC,4
BLOQ 01F1 - ABEROT,BCDC,4
52-1 OCCD BLOQUEI 43TC,BCDC,5
BLOQQUEIO CDC 010 BLOQ,BCDC,5
BLOQUEIO COMANDO ABERTURA,BLA,1
BLOQUEIO COMANDO ABERTURA,BLA,1
BLOQUEIO COMANDO ABERTURA,BLA,2
BLOQ COMANDO ABERTURA,BLA,2
COMANDO ABERTURA BLOQUEIO 52-1 - ABERTO,BLA,3
BLOQ COMANDO ABERTURA 01F1 - FECHADO,BLA,3
COMANDO BLOQ 52-2,BLA,4
COMANDO BLOQ ABERTURA IED 01F1 POS.R EMOTO,BLA,4
COMAANNDO ABERTURA 01Q0 BLOQ 01F1,BLA,5
01F1 COMAND IED 52-1- ABERTURA,BLA,5
BLOQUEIO COMANDO FECHAMENTO,BFC,1
BLOQUEIO COMANDO FECHAMENTO,BFC,1
BLOQ COMANDO FECHAMENTO,BFC,2
BLOQ COMANDO FECHAMENTO,BFC,2
COMANDO BLOQUEIO FECHAMENTO 01Q0 - ABERTO,BFC,3
FECHAMENTO COMANDO BLOQ IED 01F1 - BLOQUEIO,BFC,3
BLOQ COMANDO FECHAMENTO0 1Q0 ABERTO,BFC,4
COMADNO BLOQ FECHAMENTO IED 01F1,BFC,4
52-1 - 52-1 BLOQ FECHAENTO,BFC,5
- LBOQ 5-2 COMANDO,BFC,5
BLOQUEIO DISJUNTOR,BLDJ,1
BLOQUEIO DISJUNTOR,BLDJ,1
BLOQ DISJ,BLDJ,2
BLOQ DISJ,BLDJ,2
DISJ BLOQ 52-2 - FECHADO,BLDJ,3
DISJUNTOR BLOQ 43TC - BLOQUEIO,BLDJ,3
BLO DISJ 01F1 -,BLDJ,4
LOQUEIO 01Q0 - POS.,BLDJ,4
REMOTO POS. IED 522-1 - 01F1,BLDJ,5
01F1 IED - 01F1 BOLQUEIO,BLDJ,5
BLOQUEIO MANOBRA SECCIONADORA,BSEC,1
BLOQUEIO MANOBRA SECCIONADORA,BSEC,1
BLOQ MANOBRA SECCIONADORA,BSEC,2
BLOQ MANOBRA SECC,BSEC,2
MANOBRA BLOQ SECCIONADORA 01Q0 - ABERTO,BSEC,3
MANOBRA SECCIONADORA BLOQ 01F1 - ABERTO,BSEC,3
BLOQ SECC 43TC BLQOUEIO,BSEC,4
SECC 43TC - ABERRTO,BSEC,4
SECCIONADOA ABERTO - 01F1 43C,BSEC,5
52-1 01F1 BLOQUEIO MNAOBR,BSEC,5
BLOQUEIO POR TENSAO DE RETORNO,BLV,1
BLOQUEIO POR TENSAO DE RETORNO,BLV,1
BLOQUEIO POR TENS DE RETORNO,BLV,2
BLOQ POR TENS DE RETORNO,BLV,2
TENS BLOQ RETORNO POR DE 43TC - FECHADO,BLV,3
BLOQ TENS DE RETORNO POR 01F1 - FECHADO,BLV,3
TENS RETORNO DE 01F1 - ABRETO,BLV,4
RETORNO TENS POR BLOQ 01FF1 - FECHADO,BLV,4
- IED BLOQUEIO 01F D POR RETORNO,BLV,5
DE 01F1 TENS RETORNNO 01Q0 IED,BLV,5
ANOMALIA PROTECAO,ANP,1
ANOMALIA PROTECAO,ANP,1
ANOMALIA PROTECAO,ANP,2
ANOMALIA PROTECAO,ANP,2
ANOMALIA PROTECAO 01F1 - TRIP,ANP,3
PROTECAO ANOMALIA IED 01F1 - TRIP,ANP,3
ANOALIA PROT 52-1 POS. REMOTO,ANP,4
PRT 01Q0 POS. REMOTO,ANP,4
PROTECAO -- IED0 1F1 ANOMALIA,ANP,5
IED PROOT 01F1 ANOMALIA 52-11,ANP,5
BOBINA ABERTURA,BBAB,1
BOBINA ABERTURA,BBAB,1
BOBINA ABERTURA,BBAB,2
BOBINA ABERTURA,BBAB,2
ABERTURA BOBINA IED 01F1 - POS. REMOTO,BBAB,3
BOBINA ABERTURA 52-2 - FECHADO,BBAB,3
ABERTURA BOBINA 43TC,BBAB,4
ABERTURA IED 01F1 - POS. REMOTO,BBAB,4
BOIBNA BLOQUEIO - 010,BBAB,5
01Q0 -A 52-2 BERTO,BBAB,5
BOBINA ABERTURA 1,BBA1,1
BOBINA ABERTURA 1,BBA1,1
BOBINA ABERTURA 1,BBA1,2
BOBINA ABERTURA 1,BBA1,2
ABERTURA BOBINA 1 52-1 - BLOQUEIO,BBA1,3
ABERTURA 1 BOBINA 52-1 - POS. REMOTO,BBA1,3
BOBINA ABERTURA 1 - ABEROT,BBA1,4
ABERTURA 1 BOBINA 52-1 POS. REMOTOO,BBA1,4
52-22 - 52-2 ABERTURA,BBA1,5
BOQUEIO 52-1 1 --,BBA1,5
BOBINA ABERTURA 2,BBA2,1
BOBINA ABERTURA 2,BBA2,1
BOBINA ABERTURA 2,BBA2,2
BOBINA ABERTURA 2,BBA2,2
BOBINA 2 ABERTURA 01F1 - FECHADO,BBA2,3
2 BOBINA ABERTURA 01F1 - ABERTO,BBA2,3
2 BOBIN 52-1 - TRIP,BBA2,4
BOBINA 2 01F1 - REMOO,BBA2,4
43TC TRIP - IED,BBA2,5
01Q0 ABERTURA -F ECHADO BOBINA 2,BBA2,5
BOBINA ABERTURA FECHAMENTO 1,BAF1,1
BOBINA ABERTURA FECHAMENTO 1,BAF1,1
BOBINA ABERTURA FECHAMENTO 1,BAF1,2
BOBINA ABERTURA FECHAMENTO 1,BAF1,2
1 ABERTURA BOBINA FECHAMENTO 43TC - POS. REMOTO,BAF1,3
ABERTURA FECHAMENTO BOBINA 1 52-2 - POS. REMOTO,BAF1,3
BOBINA 1 FECHAMENTO ABERTURA 01F1-,BAF1,4
BOBINA ABERTURA 43TC - BOQUEIO,BAF1,4
-- FECHAMENTO ABERTURA BERTO 01F1,BAF1,5
IED 52-2 FECHAMENTO PO.S ABETRURA REMOTO,BAF1,5
BOBINA ABERTURA FECHAMENTO 2,BAF2,1
BOBINA ABERTURA FECHAMENTO 2,BAF2,1
BOBINA ABERTURA FECHAMENTO 2,BAF2,2
BOBINA ABERTURA FECHAMENTO 2,BAF2,2
FECHAMENTO ABERTURA 2 BOBINA 01F1 - BLOQUEIO,BAF2,3
ABERTURA FECHAMENTO 2 BOBINA 52-2 - FECHADO,BAF2,3
2 BBINA FECHAMENTO 01F1 - BLOQUEIO,BAF2,4
FECHAMENTO BOBINA 2 5-22 - TRIP,BAF2,4
FECHADO EFCHAMENT 43TC O2 - 52-1,BAF2,5
FECHAMENTO BOBINA 01F1 ABERTUR IED 01F1,BAF2,5
BOBINA ABERTURA OU FECHAMENTO,BBAF,1
BOBINA ABERTURA OU FECHAMENTO,BBAF,1
BOBINA ABERTURA OU FECHAMENTO,BBAF,2
BOBINA ABERTURA OU FECHAMENTO,BBAF,2
BOBINA ABERTURA FECHAMENTO OU 43TC - FECHADO,BBAF,3
BOBINA OU FECHAMENTO ABERTURA 52-1 - ABERTO,BBAF,3
FECHAMENTO BOBINA ABERTURA 52-2 --,BBAF,4
ABERTURA FCHAMENTO OU 01F1 TRIP,BBAF,4
01F1 OU FECHADO IED FECHAMNTO 3TC,BBAF,5
BOBINA52-2 U ABERTURA 01Q0,BBAF,5
BOBINA FECHAMENTO,BBFC,1
BOBINA FECHAMENTO,BBFC,1
BOBINA FECHAMENTO,BBFC,2
BOBINA FECHAMENTO,BBFC,2
BOBINA FECHAMENTO 01Q0 - POS. REMOTO,BBFC,3
FECHAMENTO BOBINA 01Q0 - BLOQUEIO,BBFC,3
FECHAMETO 52-1 - TRIP,BBFC,4
FECHHAMENTO 43TC - TRIP,BBFC,4
IED BBINA 01F1 FECHAENTO - FECHADO,BBFC,5
43CT- IED BOBINA 01F1,BBFC,5
CARREGAMENTO DA BATERIA,BAVL,1
CARREGAMENTO DA BATERIA,BAVL,1
CARREGAMENTO DA BATERIA,BAVL,2
CARREGAMENTO DA BATERIA,BAVL,2
BATERIA DA CARREGAMENTO 52-2 - POS. REMOTO,BAVL,3
DA CARREGAMENTO BATERIA 43TC - FECHADO,BAVL,3
CARREGAMENTO DA 43TC - PSO. REMOTO,BAVL,4
CARREGAMENTO DA 52-2 - BLOQUEI,BAVL,4
CARREGAMENTO5 2-1 - 01F1,BAVL,5
REMOOO 52-2 DA 52-2 POS.,BAVL,5
CDC AUTOMATICO MANUAL,CDAM,1
CDC AUTOMATICO MANUAL,CDAM,1
CDC AUTOMATICO MANUAL,CDAM,2
CDC AUTOMATICO MANUAL,CDAM,2
MANUAL AUTOMATICO CDC 43TC - ABERTO,CDAM,3
MANUAL AUTOMATICO CDC 52-1 - BLOQUEIO,CDAM,3
AUTOMATICO MANUAL- FECHADO,CDAM,4
MANUAAL CDC - TRIP,CDAM,4
AUOMMATICO 01Q0 BLOQUEIO 52-1 -,CDAM,5
TRIP MANUAL 001Q0 AUTOMTAICO IED,CDAM,5
CDC LOCAL AUTOMATICO,CDLA,1
CDC LOCAL AUTOMATICO,CDLA,1
CDC LOCAL AUTOMATICO,CDLA,2
CDC LOCAL AUTOMATICO,CDLA,2
AUTOMATICO LOCAL CDC 52-1 - ABERTO,CDLA,3
AUTOMATICO CDC LOCAL 01F1 - TRIP,CDLA,3
CDC LOCAL 552-2 TRIP,CDLA,4
UATOMATICO CDC LOCAL 52-2 -,CDLA,4
AUTOMATICO IED ECHADO 52-2 01F1 CCDC,CDLA,5
2-2 52-1 CDC POS. ERMOTO,CDLA,5
CDC LOCAL MANUAL,CDLM,1
CDC LOCAL MANUAL,CDLM,1
CDC LOCAL MANUAL,CDLM,2
CDC LOCAL MANUAL,CDLM,2
CDC LOCAL MANUAL 52-1 - FECHADO,CDLM,3
CDC MANUAL LOCAL 01Q0 - TRIP,CDLM,3
CDC MANUAL01Q0 - BLOQUEIO,CDLM,4
CDC MANUAL 52-2 BLOQUUEIO,CDLM,4
52--2 01Q0 LOCALMANUAL,CDLM,5
01Q0 01F1 MUAL REMOTO - POS.,CDLM,5
CDC MODO DE OPERACAO,CDCO,1
CDC MODO DE OPERACAO,CDCO,1
CDC MODO DE OPERACAO,CDCO,2
CDC MODO DE OPERACAO,CDCO,2
MODO DE CDC OPERACAO 01F1 - FECHADO,CDCO,3
DE OPERACAO MODO CDC 43TC - ABERTO,CDCO,3
MODO OPERCAO DE IED 01F1 - BLOQUEIO,CDCO,4
CDCO PERACAO DE MODO 01Q0 - POS.,CDCO,4
DE 52-1 MODO BERTO 25-1,CDCO,5
01F1 ED DE REMOTOI 52-1 CDC -,CDCO,5
CDC REMOTO AUTOMATICO,CDRA,1
CDC REMOTO AUTOMATICO,CDRA,1
CDC REMOTO AUTOMATICO,CDRA,2
CDC REMOTO AUTOMATICO,CDRA,2
REMOTO CDC AUTOMATICO 01Q0 - ABERTO,CDRA,3
REMOTO AUTOMATICO CDC 52-2 - BLOQUEIO,CDRA,3
CDC AUTOMAATICO - FECHADO,CDRA,4
CDC REMOTO 01Q0 ABERRTO,CDRA,4
- 52-1 AUTOMATIICO 01Q00,CDRA,5
52-2 TRIP AUTOMATICO - REMOTO,CDRA,5
CDC REMOTO MANUAL,CDRM,1
CDC REMOTO MANUAL,CDRM,1
CDC REMOTO MANUAL,CDRM,2
CDC REMOTO MANUAL,CDRM,2
MANUAL REMOTO CDC 01F1 - ABERTO,CDRM,3
REMOTO MANUAL CDC 01F1 - FECHADO,CDRM,3
CDCMANUAL IED - BLOQUEIO,CDRM,4
MANUAL CDC 52-1 - POS. RMOTO,CDRM,4
MANUAL 01Q0 TTRIP - CDC,CDRM,5
43TC 01F1- MANUAL EID,CDRM,5
CENTRAL DE ALARME DEFEITO,DEFC,1
CENTRAL DE ALARME DEFEITO,DEFC,1
CENTRAL DE ALARME DEFEITO,DEFC,2
CENTRAL DE ALARME DEFEITO,DEFC,2
DEFEITO CENTRAL DE ALARME 01Q0 - ABERTO,DEFC,3
DEFEITO CENTRAL DE ALARME IED 01F1 - POS. REMOTO,DEFC,3
DEFEIT OCENTRAL ALARME 01F1 - POS. REMOTO,DEFC,4
CENTRAL DE ALARME DEFEITO 52-1,DEFC,4
01Q0 - ABERTO ECNTRAL ALAME,DEFC,5
DEFEITO CENTARL 01Q0 AALARME -,DEFC,5
CHAVE GERAL VENTILACAO FORCADA,VFCH,1
CHAVE GERAL VENTILACAO FORCADA,VFCH,1
CHAVE GERAL VENTILACAO FORCADA,VFCH,2
CHAVE GERAL VENTILACAO FORCADA,VFCH,2
GERAL FORCADA VENTILACAO CHAVE IED 01F1 - POS. REMOTO,VFCH,3
FORCADA GERAL CHAVE VENTILACAO IED 01F1 - TRIP,VFCH,3
CHAVE VENTILACAO 522-2 - BLOQUEIO,VFCH,4
GERAL FORCADA VENTIILACAO - ABERTO,VFCH,4
REMOTO 01F1 IED 52-1 ERAL VENTILACAO FORCADG POS.,VFCH,5
PO.S 01F1 IED VENTILACCAO FORCADA 01F1,VFCH,5
CHAVE VENTILACAO FORCADA DESLIGADA,VFDE,1
CHAVE VENTILACAO FORCADA DESLIGADA,VFDE,1
CHAVE VENTILACAO FORCADA DESLIGADA,VFDE,2
CHAVE VENTILACAO FORCADA DESLIGADA,VFDE,2
CHAVE DESLIGADA FORCADA VENTILACAO 01Q0 - POS. REMOTO,VFDE,3
FORCADA CHAVE VENTILACAO DESLIGADA 01F1 - BLOQUEIO,VFDE,3
DESLGIADA FORCADA VENTILACAO CHAVE - POS. REMOTO,VFDE,4
CCHAVE VENTILACAO 52-1 - FECHADO,VFDE,4
ACHAVE 01Q0 10F1 - REMOTO FORCAD POS.,VFDE,5
CHAVE FORCADA 43TC - ABERTO,VFDE,5
CHAVE VENTILACAO FORCADA MANUAL,VFMA,1
CHAVE VENTILACAO FORCADA MANUAL,VFMA,1
CHAVE VENTILACAO FORCADA MANUAL,VFMA,2
CHAVE VENTILACAO FORCADA MANUAL,VFMA,2
FORCADA VENTILACAO CHAVE MANUAL 52-2 - ABERTO,VFMA,3
MANUAL FORCADA CHAVE VENTILACAO IED 01F1 - ABERTO,VFMA,3
FORCADA CHAVE MANUA LVENTILACAO - TRIP,VFMA,4
CHAVE MANUAL VENTILACAO 5-22 - BLOQUEIO,VFMA,4
VENTIACAO FORCADA MANUAL FECHAADO 52-2,VFMA,5
52-1 01F11 ABERTO HAVE -,VFMA,5
CHAVE VENTILACAO FORCADA REMOTO,VFRE,1
CHAVE VENTILACAO FORCADA REMOTO,VFRE,1
CHAVE VENTILACAO FORCADA REMOTO,VFRE,2
CHAVE VENTILACAO FORCADA REMOTO,VFRE,2
CHAVE VENTILACAO FORCADA REMOTO 43TC - FECHADO,VFRE,3
CHAVE REMOTO VENTILACAO FORCADA 01Q0 - FECHADO,VFRE,3
VENTIACAO CHAVE FORCADA 01F1 - TRIP,VFRE,4
CHAVE FORCADA VENTILACAAO REMOTO IED 01F1 -,VFRE,4
IED FORCADA 01F1 TIP VENTILAACAO REMOTO,VFRE,5
FORCADA 52-2 - 52-1 RMOT,VFRE,5
CIRCUITO ABERTURA,CAB,1
CIRCUITO ABERTURA,CAB,1
CIRCUITO ABERTURA,CAB,2
CIRCUITO ABERTURA,CAB,2
ABERTURA CIRCUITO 52-2 - ABERTO,CAB,3
CIRCUITO ABERTURA 01Q0 - TRIP,CAB,3
ABERTURA CIRCUITO 001F1 -,CAB,4
CIRCUITO ABERTURA 01Q -,CAB,4
FECHADO ABERTURA10F1 52-2,CAB,5
43TC AEBRTURA - 01F1,CAB,5
CIRCUITO ABERTURA 1,CAB1,1
CIRCUITO ABERTURA 1,CAB1,1
CIRCUITO ABERTURA 1,CAB1,2
CIRCUITO ABERTURA 1,CAB1,2
ABERTURA CIRCUITO 1 IED 01F1 - FECHADO,CAB1,3
1 CIRCUITO ABERTURA 01Q0 - ABERTO,CAB1,3
ABERTRUA CIRCUITO - FECHADO,CAB1,4
CIRCUITO ABERTURA 1 01F1 - REMOTO,CAB1,4
- 52-2 FEHADO 01F1,CAB1,5
1 52-1 FECHAD CIRCUITOABERTURA,CAB1,5
CIRCUITO ABERTURA 2,CAB2,1
CIRCUITO ABERTURA 2,CAB2,1
CIRCUITO ABERTURA 2,CAB2,2
CIRCUITO ABERTURA 2,CAB2,2
2 ABERTURA CIRCUITO 52-2 - POS. REMOTO,CAB2,3
ABERTURA 2 CIRCUITO IED 01F1 - POS. REMOTO,CAB2,3
ABERTURA 2 CIRCUITO 52-2 POS. RREMOTO,CAB2,4
CRCUITO ABERTURA 01Q0 -,CAB2,4
BLOQUEIO - CIRCUITTTO 01F1 ABERTURA,CAB2,5
2 CIRCUITO ABERTO 52--1,CAB2,5
CIRCUITO FECHAMENTO,CFC,1
CIRCUITO FECHAMENTO,CFC,1
CIRCUITO FECHAMENTO,CFC,2
CIRCUITO FECHAMENTO,CFC,2
FECHAMENTO CIRCUITO 52-2 - POS. REMOTO,CFC,3
FECHAMENTO CIRCUITO 43TC - TRIP,CFC,3
FECHAENTO 01F1 - REMOTO,CFC,4
FEHAMENTO CIRCUITO IED - ABERTO,CFC,4
CIRCUTIO 52-2 43TC-,CFC,5
ABERTO ED FECHAMENTO 01F1 43TC,CFC,5
COMANDO,CMD,1
COMANDO,CMD,1
COMANDO,CMD,2
COMANDO,CMD,2
COMANDO IED 01F1 - TRIP,CMD,3
COMANDO 52-1 - BLOQUEIO,CMD,3
COMANDO 521- -,CMD,4
COMAND - TRIP,CMD,4
01F1 01F1 - OS.,CMD,5
POS. COMAANDOO 01F1 52-2,CMD,5
COMANDO,CMD,1
COMANDO,CMD,1
COMANDO,CMD,2
COMANDO,CMD,2
COMANDO IED 01F1 - TRIP,CMD,3
COMANDO 52-1 - BLOQUEIO,CMD,3
COMANDO 521- -,CMD,4
COMAND - TRIP,CMD,4
01F1 01F1 - OS.,CMD,5
POS. COMAANDOO 01F1 52-2,CMD,5
COMANDO FECHAMENTO REMOTO,FCRE,1
COMANDO FECHAMENTO REMOTO,FCRE,1
COMANDO FECHAMENTO REMOTO,FCRE,2
